2016-02-15T19:21:39.760+0800: 3496.474: [GC [PSYoungGen: 1371248K->13920K(1377664K)] 1502945K->145794K(4173888K), 0.0295780 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2016-02-15T19:22:38.779+0800: 3555.494: [GC [PSYoungGen: 1371360K->17817K(1377152K)] 1503234K->149896K(4173376K), 0.0329660 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2016-02-15T19:23:30.387+0800: 3607.102: [GC [PSYoungGen: 1374937K->18676K(1375808K)] 1507016K->151192K(4172032K), 0.0302050 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:24:25.982+0800: 3662.697: [GC [PSYoungGen: 1375796K->15184K(1377344K)] 1508312K->148000K(4173568K), 0.0274800 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:25:23.126+0800: 3719.841: [GC [PSYoungGen: 1371408K->16080K(1376960K)] 1504224K->149272K(4173184K), 0.0301620 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:26:19.108+0800: 3775.823: [GC [PSYoungGen: 1372304K->15840K(1378176K)] 1505496K->149234K(4174400K), 0.0285260 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-02-15T19:27:12.949+0800: 3829.663: [GC [PSYoungGen: 1373664K->15632K(1377728K)] 1507058K->149330K(4173952K), 0.0285300 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2016-02-15T19:28:10.660+0800: 3887.374: [GC [PSYoungGen: 1373456K->15696K(1378880K)] 1507154K->149510K(4175104K), 0.0291780 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-02-15T19:29:06.063+0800: 3942.778: [GC [PSYoungGen: 1375056K->13680K(1378560K)] 1508870K->147747K(4174784K), 0.0261570 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:30:01.843+0800: 3998.558: [GC [PSYoungGen: 1373040K->14400K(1379008K)] 1507107K->148839K(4175232K), 0.0273960 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:30:59.728+0800: 4056.442: [GC [PSYoungGen: 1374208K->15953K(1378880K)] 1508647K->150740K(4175104K), 0.0293330 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:31:54.000+0800: 4110.714: [GC [PSYoungGen: 1375761K->18832K(1377408K)] 1510548K->153993K(4173632K), 0.0317490 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:32:43.092+0800: 4159.806: [GC [PSYoungGen: 1377360K->13255K(1371840K)] 1512521K->148852K(4168064K), 0.0253560 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
